code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
GAM,ጋሞ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
GOF,Gofa Zones,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
GOF,የጎፋ ዞኖች,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
GED,Gedeo Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
GED,የጌዴኦ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
GUR,Gurage Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
GUR,ጉራጌ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
HAD,Hadiya Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
HAD,ሀዲያ ​​ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
KEF,Keffa Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
KEF,ከፋ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
KTZ,Kembata Tembaro Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
KTZ,ከምባታ ጠምባሮ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
SHK,Sheka Zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
SHK,ሸካ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
WOZ,West Omo zone,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
WOZ,ምዕራብ ኦሞ ዞን,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
IDD,Independent districts,2,Zone,SNN,eng,t,110011,2021-02-10 07:55:07.585804
IDD,ገለልተኛ ወረዳዎች,2,ዞን,SNN,amh,t,110011,2021-02-10 07:55:07.585804
GIDD,Independent districts,2,Zone,GML,eng,t,110011,2021-02-10 07:55:07.585804
100,Robe,4,Woreda,ARS,eng,t,110011,2021-02-10 07:57:45.892058
100,ሮበ,4,ወረዳ,ARS,amh,t,110011,2021-02-10 07:57:45.892058
